iter	Passed	Remaining
0	4	1059
1	6	844
2	9	795
3	12	780
4	15	755
5	18	753
6	21	752
7	24	739
8	27	729
9	29	713
10	32	704
11	35	696
12	37	688
13	40	680
14	43	676
15	45	667
16	48	662
17	50	654
18	53	650
19	56	646
20	58	642
21	61	636
22	64	632
23	67	631
24	69	627
25	72	621
26	74	618
27	77	614
28	79	609
29	82	606
30	85	603
31	87	599
32	90	595
33	93	596
34	96	594
35	99	591
36	102	588
37	104	584
38	107	580
39	109	575
40	112	572
41	114	567
42	117	566
43	120	562
44	122	559
45	125	555
46	127	552
47	130	548
48	133	545
49	135	542
50	138	539
51	140	536
52	143	533
53	145	529
54	148	526
55	150	523
56	153	519
57	155	515
58	158	513
59	161	509
60	163	507
61	166	505
62	169	502
63	171	499
64	174	496
65	176	493
66	179	490
67	182	488
68	185	485
69	187	482
70	190	479
71	192	476
72	195	473
73	198	471
74	200	468
75	203	465
76	205	462
77	208	459
78	211	456
79	213	453
80	216	451
81	218	448
82	221	445
83	223	442
84	226	439
85	228	435
86	231	433
87	234	430
88	236	428
89	239	424
90	241	421
91	244	419
92	246	416
93	249	414
94	252	411
95	255	409
96	257	406
97	260	403
98	262	400
99	265	398
100	268	395
101	270	393
102	273	390
103	276	387
104	278	384
105	281	382
106	284	379
107	286	376
108	289	374
109	291	371
110	294	368
111	296	365
112	299	363
113	302	360
114	304	357
115	307	355
116	309	352
117	312	349
118	315	346
119	317	344
120	320	341
121	322	338
122	325	335
123	327	333
124	330	330
125	332	327
126	335	324
127	337	322
128	340	319
129	343	317
130	346	314
131	350	313
132	353	310
133	355	308
134	358	305
135	361	302
136	363	300
137	366	297
138	368	294
139	371	292
140	374	289
141	376	286
142	379	283
143	381	281
144	384	278
145	386	275
146	389	272
147	391	270
148	394	267
149	397	264
150	399	261
151	402	259
152	404	256
153	407	254
154	409	251
155	412	248
156	415	246
157	418	243
158	420	240
159	423	238
160	426	235
161	428	232
162	431	230
163	434	227
164	436	225
165	439	222
166	441	219
167	444	216
168	447	214
169	450	211
170	453	209
171	455	206
172	456	203
173	459	200
174	461	197
175	464	195
176	466	192
177	469	189
178	471	187
179	474	184
180	476	181
181	479	179
182	482	176
183	484	173
184	487	171
185	489	168
186	491	165
187	494	163
188	497	160
189	500	157
190	503	155
191	505	152
192	508	150
193	511	147
194	513	144
195	516	142
196	518	139
197	521	137
198	524	134
199	527	131
200	529	129
201	532	126
202	534	123
203	537	121
204	540	118
205	543	116
206	546	113
207	549	110
208	552	108
209	555	105
210	558	103
211	561	100
212	564	98
213	567	95
214	570	92
215	572	90
216	575	87
217	578	84
218	582	82
219	585	79
220	588	77
221	591	74
222	593	71
223	596	69
224	599	66
225	602	64
226	605	61
227	608	58
228	610	56
229	613	53
230	615	50
231	618	47
232	620	45
233	623	42
234	625	39
235	628	37
236	630	34
237	633	31
238	636	29
239	638	26
240	641	23
241	643	21
242	646	18
243	649	15
244	651	13
245	654	10
246	656	7
247	659	5
248	662	2
249	664	0
