feature,importance
team_b_prev_avg_points_scored,0.036163088
team_b_avg_points,0.034038827
team_a_avg_attack,0.032449003
team_b_avg_block,0.03219485
team_b_prev_win_rate,0.029356746
team_a_avg_points,0.02787452
team_b_win_rate,0.027815564
team_b_starter_block,0.027539648
team_a_prev_set_win_rate,0.025423564
team_a_starter_attack,0.020973975
team_a_prev_win_rate,0.0191587
team_a_starter_serve,0.016754515
team_a_prev_avg_points_scored,0.016714664
team_b_prev_matches_won,0.016705997
team_b_avg_attack,0.015497107
team_b_starter_attack,0.014203145
team_a_avg_sets_per_player,0.014175441
team_a_win_rate,0.013590313
team_a_prev_sets_won,0.013209881
team_b_prev_avg_points_conceded,0.012992615
team_a_prev_avg_points_conceded,0.012969232
team_b_prev_matches_played,0.01278158
team_b_matches_played,0.012645251
team_b_starter_serve,0.0126232905
team_b_avg_sets_per_player,0.01245091
team_a_libero_digs,0.012325892
team_a_prev_matches_won,0.012064429
team_a_avg_block,0.011971459
team_a_top_scorer,0.011957726
team_b_prev_set_win_rate,0.01185972
team_b_avg_serve,0.011856865
team_b_momentum_10_trend,0.011569199
team_a_momentum_5_trend,0.011463018
team_b_10plus_scorers,0.011454427
team_a_matches_played,0.011292461
team_b_overall_win_rate,0.011258743
team_b_prev_sets_won,0.011239987
h2h_matches_played,0.0110958265
team_b_libero_reception,0.011061556
team_b_momentum_3,0.010985979
team_b_top_scorer,0.01092276
experience_difference,0.010688475
team_a_momentum_10_trend,0.010613397
team_a_starter_block,0.01059525
h2h_team_a_win_rate,0.0103791095
team_a_libero_reception,0.010343657
team_b_roster_depth,0.010297811
team_a_performance_std,0.010289177
team_a_avg_serve,0.010231854
team_b_form_streak,0.009915623
team_b_libero_digs,0.009906737
team_b_momentum_10,0.009840081
team_a_consistency,0.009808944
team_a_prev_sets_lost,0.009804697
team_b_win_rate_last_n,0.009785377
team_a_overall_win_rate,0.009761011
team_a_momentum_3_trend,0.009594469
team_b_momentum_5_trend,0.009436908
h2h_team_b_win_rate,0.009346097
team_a_10plus_scorers,0.009286048
team_a_momentum_5,0.009257116
team_b_consistency,0.00924709
team_a_momentum_3,0.009138606
win_rate_difference,0.008893599
team_b_prev_sets_lost,0.008885536
team_b_momentum_5,0.00861796
team_b_momentum_3_trend,0.008583706
team_a_prev_matches_played,0.00850888
team_a_momentum_10,0.008324207
h2h_has_history,0.0075925263
team_a_win_rate_last_n,0.0074534067
team_b_performance_std,0.0072602644
team_a_roster_depth,0.007205799
team_a_form_streak,0.0064241365
