iter	Passed	Remaining
0	8	2237
1	13	1641
2	17	1468
3	21	1347
4	26	1295
5	30	1230
6	36	1257
7	40	1227
8	44	1193
9	50	1215
10	55	1199
11	58	1154
12	61	1124
13	66	1119
14	69	1088
15	73	1067
16	75	1038
17	79	1025
18	83	1011
19	86	994
20	99	1089
21	102	1066
22	106	1047
23	109	1028
24	112	1011
25	115	996
26	119	983
27	122	970
28	126	960
29	129	947
30	132	936
31	136	931
32	140	923
33	143	913
34	146	902
35	150	892
36	153	883
37	157	877
38	160	866
39	164	861
40	167	853
41	171	850
42	175	844
43	178	835
44	181	828
45	185	820
46	188	813
47	191	804
48	194	798
49	197	791
50	201	784
51	205	782
52	209	778
53	212	771
54	215	763
55	218	756
56	221	749
57	224	742
58	228	739
59	231	732
60	234	726
61	237	720
62	241	715
63	243	708
64	247	703
65	250	697
66	254	694
67	257	688
68	260	682
69	263	677
70	266	671
71	269	666
72	272	661
73	275	655
74	278	650
75	281	645
76	284	639
77	287	635
78	291	631
79	314	668
80	317	662
81	320	657
82	323	651
83	327	646
84	330	641
85	333	636
86	342	641
87	346	638
88	349	632
89	353	628
90	357	623
91	360	619
92	364	615
93	368	612
94	372	608
95	376	604
96	380	600
97	384	596
98	387	591
99	391	586
100	395	583
101	400	581
102	404	577
103	417	586
104	422	582
105	425	578
106	428	573
107	432	568
108	435	563
109	439	558
110	451	565
111	455	560
112	457	555
113	461	551
114	465	546
115	468	541
116	472	537
117	480	537
118	483	531
119	486	527
120	489	521
121	492	516
122	495	511
123	498	506
124	501	501
125	505	497
126	508	492
127	511	487
128	514	482
129	518	478
130	528	479
131	531	474
132	534	470
133	537	465
134	540	460
135	543	455
136	546	450
137	549	446
138	552	441
139	555	436
140	558	432
141	561	427
142	564	422
143	567	417
144	570	413
145	573	408
146	576	404
147	580	399
148	583	395
149	586	390
150	589	386
151	592	382
152	595	377
153	598	373
154	601	368
155	604	364
156	607	359
157	611	356
158	614	351
159	617	347
160	620	342
161	623	338
162	626	334
163	629	330
164	633	326
165	636	321
166	638	317
167	641	313
168	644	308
169	647	304
170	651	301
171	654	296
172	655	291
173	658	287
174	661	283
175	665	279
176	669	275
177	672	271
178	675	267
179	678	263
180	691	263
181	694	259
182	698	255
183	701	251
184	704	247
185	707	243
186	710	239
187	713	235
188	716	231
189	719	227
190	722	223
191	725	219
192	728	215
193	731	211
194	734	207
195	737	203
196	740	199
197	744	195
198	747	191
199	751	187
200	754	183
201	758	180
202	761	176
203	766	172
204	770	169
205	772	165
206	775	161
207	778	157
208	781	153
209	785	149
210	788	145
211	791	141
212	794	138
213	798	134
214	801	130
215	804	126
216	808	122
217	811	119
218	814	115
219	817	111
220	820	107
221	825	104
222	829	100
223	844	97
224	850	94
225	855	90
226	860	87
227	865	83
228	882	80
229	886	77
230	893	73
231	896	69
232	900	65
233	904	61
234	910	58
235	917	54
236	920	50
237	924	46
238	927	42
239	931	38
240	934	34
241	937	31
242	941	27
243	945	23
244	948	19
245	951	15
246	954	11
247	959	7
248	962	3
249	966	0
